id,casenumber,date,block,iucr,primarytype,description,locationdescription,arrest,domestic,beat,district,ward,communityarea,fbicode,xcoordinate,ycoordinate,year,updatedon,latitude,longitude,location
10272876,HY461088,10/13/2015 11:25:00 PM,034XX N CLARK ST,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,SIDEWALK,true,false,1924,19,44,6,04A,1168836,1923316,2015,10/20/2015 03:56:48 PM,41.945103,-87.654823,"(41.9451031, -87.654825411)"
10272774,HY460993,10/13/2015 10:10:00 PM,068XX S LOOMIS BLVD,0560,ASSAULT,SIMPLE,PARKING LOT/GARAGE(NON.RESID.),false,false,724,7,17,67,08A,1168179,1859299,2015,10/20/2015 03:56:48 PM,41.769447,-87.659088,"(41.769449202, -87.659088027)"
10274019,HY461793,10/13/2015 10:00:00 PM,066XX S RHODES AVE,0560,ASSAULT,SIMPLE,APARTMENT,false,true,321,3,20,42,08A,1181043,1861078,2015,10/20/2015 03:56:48 PM,41.774044,-87.611877,"(41.774044549, -87.611880073)"
10273698,HY461454,10/13/2015 09:30:00 PM,091XX S ESSEX AVE,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,423,4,7,48,08A,1194423,1844888,2015,10/20/2015 03:56:48 PM,41.729298,-87.563362,"(41.729299431, -87.563363564)"
10272776,HY461020,10/13/2015 08:30:00 PM,065XX S COTTAGE GROVE AVE,0560,ASSAULT,SIMPLE,STREET,false,false,321,3,20,42,08A,1182684,1861922,2015,10/20/2015 03:56:48 PM,41.776321,-87.605835,"(41.776322631, -87.605838376)"
10272673,HY460899,10/13/2015 07:34:00 PM,043XX N LARAMIE AVE,0560,ASSAULT,SIMPLE,STREET,false,false,1624,16,45,15,08A,1140913,1928229,2015,10/20/2015 03:56:48 PM,41.959145,-87.757339,"(41.959145489, -87.757338966)"
10272699,HY460878,10/13/2015 07:25:00 PM,083XX S STEWART AVE,0560,ASSAULT,SIMPLE,SMALL RETAIL STORE,true,false,622,6,21,44,08A,1175078,1849610,2015,10/20/2015 03:56:48 PM,41.74271,-87.634087,"(41.742710224, -87.634088181)"
10272719,HY460876,10/13/2015 07:17:00 PM,105XX S VERNON AVE,0554,ASSAULT,AGG PO HANDS NO/MIN INJURY,RESIDENTIAL YARD (FRONT/BACK),true,false,512,5,9,49,08A,1181111,1835135,2015,10/20/2015 03:56:48 PM,41.702854,-87.612427,"(41.702852387, -87.612427443)"
10272843,HY460834,10/13/2015 07:08:00 PM,016XX W GLENLAKE AVE,0553,ASSAULT,AGGRAVATED PO: OTHER DANG WEAP,RESIDENCE,true,false,2433,24,40,77,04A,1164366,1940692,2015,10/20/2015 03:56:48 PM,41.992878,-87.670761,"(41.99287945, -87.670761404)"
10272991,HY461213,10/13/2015 07:00:00 PM,095XX S JEFFERY AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,431,4,7,51,08A,1191176,1842204,2015,10/20/2015 03:56:48 PM,41.722012,-87.575348,"(41.722013357, -87.575344529)"
10272724,HY460802,10/13/2015 06:45:00 PM,075XX S MERRILL AVE,0560,ASSAULT,SIMPLE,RESIDENCE,false,true,414,4,8,43,08A,1191843,1855420,2015,10/20/2015 03:56:48 PM,41.758263,-87.572472,"(41.758263117, -87.572473466)"
10272806,HY460954,10/13/2015 06:40:00 PM,042XX S DREXEL BLVD,0560,ASSAULT,SIMPLE,RESIDENCE,false,false,214,2,4,36,08A,1182894,1876933,2015,10/20/2015 03:56:48 PM,41.817509,-87.604599,"(41.81750919, -87.604602036)"
10272685,HY460814,10/13/2015 06:38:00 PM,0000X W WASHINGTON ST,0530,ASSAULT,AGGRAVATED: OTHER DANG WEAPON,CONVENIENCE STORE,true,false,112,1,42,32,04A,1176170,1900823,2015,10/20/2015 03:56:48 PM,41.883221,-87.628548,"(41.883218909, -87.628548144)"
10272778,HY460832,10/13/2015 06:35:00 PM,0000X W 111TH ST,051A,ASSAULT,AGGRAVATED: HANDGUN,APARTMENT,true,true,522,5,34,49,04A,1177987,1831364,2015,10/20/2015 03:56:48 PM,41.692574,-87.623978,"(41.692575418, -87.62398042)"
10272976,HY460818,10/13/2015 06:30:00 PM,016XX W 104TH ST,0560,ASSAULT,SIMPLE,SIDEWALK,false,false,2212,22,19,72,08A,1167366,1835927,2015,10/20/2015 03:56:48 PM,41.70533,-87.662735,"(41.705330479, -87.662735669)"
10272599,HY460766,10/13/2015 06:23:00 PM,063XX N BELL AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,2413,24,50,2,08A,1160164,1942024,2015,10/20/2015 03:56:48 PM,41.996624,-87.68618,"(41.996622677, -87.686180824)"
10272582,HY460705,10/13/2015 05:26:00 PM,068XX S PERRY AVE,0560,ASSAULT,SIMPLE,APARTMENT,true,true,722,7,6,69,08A,1176578,1859636,2015,10/20/2015 03:56:48 PM,41.770187,-87.628288,"(41.770189163, -87.628291119)"
10272792,HY461027,10/13/2015 05:00:00 PM,036XX W OHIO ST,0560,ASSAULT,SIMPLE,APARTMENT,false,true,1122,11,27,23,08A,1151791,1903752,2015,10/20/2015 03:56:48 PM,41.891769,-87.717995,"(41.891770903, -87.71799234)"
